,회사명,거래소코드,공시발생일,text,link
0,서호전기,065710,2002-12-30 17:35,"








자본도입 또는 기술도입 계약체결




1. 공여자
VACON PLC
(국적)
핀란드


2. 회사와의 관계
-


3. 계약의 주요   내용
도입명
 License Agreement


도입내용
INVERTER 를 제조,사용,판매할 수 있는 독점적 LICENSE허용


도입방법
제품의 제조,판매,작동에 관한 지원및 용역의 제공


대가
순매출액의 3%


계약기간
2003.01.01~2003.12.31


4. 도입이유
 해외시장진출을 위한 기술력확보


5. 계약체결일
2002년 12월 30일


6. 결정일(이사회 결의일)
2002년 12월 30일


   - 사외이사 참석여부
참석(명)
-
불참(명)
-


   - 감사 참석여부
참석


7. 공정거래법 해당여부
아니오


8. 기타
최초계약 1996년 2월23일 (5년)             2001년 2월16일 연장             2002년 12월30일 재연장


※ 관련공시일
-





",https://kind.krx.co.kr/external/2002/12/30/K00188/00000000164325/96109_00362.htm
1,엔피케이,048830,2002-12-27 11:19,"








회계처리기준 변경




1. 변경대상
유형자산의 감가상각방법과 내용연수


2. 변경내용


   가. 변경전
기계장치- 정율법, 7년


   나. 변경후
기계장치- 정액법, 10년


3. 변경기준일
2002년 01월 01일


4. 변경사유(이유, 근거)
① 대규모 신규시설투자에 의한 합리적비용 배분② 임가공 납품업체인 엘지화학과의 감가상각방법 차이로 인한    단가결정의 어려움 해소


5. 손익에 미치는 영향
120백만원 당기순이익 증가 (추정)이익잉여금 667백만원 증가 (추정)


6. 변경일(이사회결의일)
2002년 12월 27일


   - 사외이사 참석여부
참석(명)
1
불참(명)
-


   - 감사 참석여부
참석


7. 기타
※ 손익에 미치는 영향은 감사결과 변경될수 있음※ 내용연수는 회계추정변경 내용에 해당.





",https://kind.krx.co.kr/external/2002/12/27/K00034/00000000163613/95700_00461.htm
2,이롬텍,045400,2002-12-24 16:16,"








특별손실발생




1. 발생부문
투자유가증권


2. 발생금액 (원)
599,992,000


   - 직전사업연도말 자본금 (원)
2,900,000,000


   - 자본금대비 (%)
20.68


3. 발생일자
2002년 12월 24일


4. 발생사유
출자회사 부도(2002.12.18)


5. 회계처리방법
출자원금을 전액 투자유가증권 감액 손실로 처리


6. 당해회사의 직전사업연도말   자산총액 (원)
14,574,629,882


7. 기타
-출자회사인 (주)케이에스컴의 부도발생으로 출자원금 전액  특별손실로 처리-매출채권 ￦110,399,572원 회계처리내역    1. 대손상각비 : 70,254,276원    2. 미수금(대손세액공제) : 10,036,320원    3. 장기외상매출금 : 30,108,976원





",https://kind.krx.co.kr/external/2002/12/24/K00105/00000000163077/95327_00434.htm
3,청람디지탈,035270,2002-12-24 14:28,"








기술제휴 계약체결




1. 기술공여자
SIRIUS SATELLITE RADIO INC.
(국적)
미국


2. 회사와의 관계
-


3. 계약의 주요    내용
제휴 기술명
디지털 위성라디오 생산 및 공급 LICENSE 협정


제휴 기술내용
디지털 위성라디오 개발 및 생산


제휴방법
LICENSE 계약


대가
-


계약기간
2002년 12월 23일 ~ 2005년 12월 22일


4. 기술제휴 이유
신제품 개발 및 공급


5. 계약체결일
2002년 12월 23일


6. 결정일(이사회 결의일)
2002년 12월 23일


   - 사외이사 참석여부
참석(명)
1
불참(명)
-


   - 감사 참석여부
참석


7. 공정거래법 해당여부
아니오


8. 기타
-


※ 관련공시일
-





",https://kind.krx.co.kr/external/2002/12/24/K00056/00000000162990/95277_00366.htm
4,KNS홀딩스,036760,2002-12-20 19:25,"








정 정 신 고 (보고)






2002년 12월 20일




1. 정정대상 공시서류 : 기술제휴계약체결

2. 정정대상 공시서류의 최초제출일 : 2002년 10월 15일

3. 정정사유 : 변경계약으로 인한 계약체결                   (변경계약일 :2002년도 12월 20일)

4. 정정사항


항  목
정정전
정정후


계약의 주요 내용(대   가)
Running 로얄티 지급 방식1)판매수량 1EA당 \1,300 지급 조건2)최초 1년간 로얄티 보장액(\39,000,000)
Running 로얄티 지급 방식1)판매수량 1EA당 \380지급 조건2)최초 1년간 로얄티 보장액 없슴3)금형 비용(\19,800,000) 별도 지급에 의해 본건 제품을 금형과 이에따른 일체의 관리와 의무를 승계


계약의 주요 내용(계약기간)
2002년 10월 15일~ 2004년 10월 15일계약종료일 1개월전까지 당사자간 계약종료의사가 없으면 자동연장
제품을 단종할때 까지로 함




기술제휴 계약체결




1. 기술공여자
(주)네모스
(국적)
대한민국


2. 회사와의 관계
-


3. 계약의 주요    내용
제휴 기술명
휴대용 USB FLASH MEMORY DRIVE 기술


제휴 기술내용
(주)네모스의 USB FLASH MEMORY DRIVE 기술에 대한 기술제휴와 독점영업권 및 독점생산권


제휴방법
상호방문에 의한 기술 제휴


대가
Running 로얄티 지급 방식1)판매수량 1EA당 \380 지급 조건 2)최초 1년간 로얄티 보장액 없슴


계약기간
제품을 단종할때 까지로 함


4. 기술제휴 이유
신규사업의 확장


5. 계약체결일
2002년 12월 20일


6. 결정일(이사회 결의일)
-


   - 사외이사 참석여부
참석(명)
-
불참(명)
-


   - 감사 참석여부
불참


7. 공정거래법 해당여부
아니오


8. 기타
현재 이전계약에 따른 로얄티 지급은 없슴


※ 관련공시일
2002년 10월 15일





",https://kind.krx.co.kr/external/2002/12/20/K00193/00000000162541/94962_00366.htm
5,서호전기,065710,2002-12-13 14:19,"








회계추정 변경




1. 변경대상
고정자산의 감가상각기간 변경


2. 변경내용


   가. 변경전
반년상각


   나. 변경후
월할상각


3. 변경기준일
2002년 01월 01일


4. 변경사유(이유, 근거)
  수익과 비용의 적절한 대응 및 거래의 실질과 경제적 사실을 보다 정확하게 재무제표에 반영하기 위함


5. 손익에 미치는 영향
2002년 12월 31일 현재 감가상각기간 변경이 손익에 미치는 영향반년상각 감가상각비 : 77,403,060원월할상각 감가상각비 : 72,228,805원차     이     금     액 :   5,174,255원


6. 변경일(이사회결의일)
2002년 12월 13일


   - 사외이사 참석여부
참석(명)
-
불참(명)
-


   - 감사 참석여부
참석


7. 기타
공시이후 신규취득자산 발생시 차이금액이 변경될 수 있습니다. 당사 자체결산의 결과이며 외부감사 후 변경사항이 발생하면 재공시 하겠습니다.





",https://kind.krx.co.kr/external/2002/12/13/K00113/00000000160457/93585_00462.htm
6,피에스엠씨,024850,2002-12-12 11:12,"








회계추정 변경




1. 변경대상
신규취득자산 감가상각 방법 변경


2. 변경내용


   가. 변경전
정액법(반년할 상각)


   나. 변경후
정액법(월할상각)


3. 변경기준일
2002년 01월 01일


4. 변경사유(이유, 근거)
기간별 비용귀속의 적정성 및 수익과 비용을 보다 적절히 대응시키기 위함.


5. 손익에 미치는 영향
9월말 현재 당기말 감가상각비 109,869천원 감소 및 당기순이익 77,238천원 증가예상


6. 변경일(이사회결의일)
2002년 12월 11일


   - 사외이사 참석여부
참석(명)
2
불참(명)
-


   - 감사 참석여부
참석


7. 기타
-





",https://kind.krx.co.kr/external/2002/12/12/K00034/00000000159848/93176_00462.htm
7,이랜텍,054210,2002-12-10 14:18,"








벌금 등의 부과




1. 부과일
2002년 12월 01일


   - 납부기한
2002년 12월 31일


2. 부과금에     관한 사항
부과대상
법인세, 부가세등(1998 ~ 2002년)


종      류
추징금


자본금 (원)
5,300,000,000


부과액 (원)
562,990,880


 - 자본금대비 (%)
10.6


3. 부과기관
수원세무서


4. 부과사유
중부지방국세청 특별조사


5. 대책(납부 또는 이의제기)
납부 예정


6. 당해회사의 직전사업연도말 자산총액 (원)
46,623,764,157


7. 기타
1.납부서 고지 수령일 : 12월 9일





",https://kind.krx.co.kr/external/2002/12/10/K00068/00000000159090/92688_00183.htm
8,렉스엘이앤지,004790,2002-12-05 16:37,"








기술제휴 계약체결




1. 기술공여자
PowerLOC Technologies.INC
(국적)
캐나다


2. 회사와의 관계
- 


3. 계약의 주요    내용
제휴 기술명
디지털지도의 공급 및 독점 소프트웨어 Licence 협정


제휴 기술내용
인공위성위치시스템용 미국 전지역의 디지털지도 제공과 관련 독점 소프트웨어 개발.


제휴방법
Licence 계약


대가
기술도입비 US$46,550 및 로얄티 지급


계약기간
2002년 10월 23일부터~


4. 기술제휴 이유
신제품개발 및 공급


5. 계약체결일
2002년 10월 23일


6. 결정일(이사회 결의일)
-


   - 사외이사 참석여부
참석(명)
       -
불참(명)
        -


   - 감사 참석여부
불참


7. 공정거래법 해당여부
아니오


8. 기타
-    당사는 2002년 10월 14일 계약서 초안 입수후      2002년 11월 21일 내부 결정되었으며 2002년 12월 4일      PowerLOC로부터 서명된 원본 계약서를 입수함.- 기술도입비 송금 예정일 : 2002년 12월 06일


※ 관련공시일
-





",https://kind.krx.co.kr/external/2002/12/05/K00121/00000000158224/92118_00366.htm
9,유나이티드,033270,2002-12-04 11:23,"








자본도입 또는 기술도입 계약체결




1. 공여자
Giridhar Laboratories PVT.LCD
(국적)
인도


2. 회사와의 관계
-


3. 계약의 주요   내용
도입명
API 기술도입 프로젝트


도입내용
고혈압 치료제, 진균치료제, 에이즈치료제, 퀴놀론계 항생제 등 10여 품목 기술도입


도입방법
향후 2년간 기술도입


대가
- 기술료 : $324,000- 기   타 : $276,000


계약기간
2002년 12월  4일 ~ 2004년 12월  3일


4. 도입이유
-해외시장개척을 위한 선진기술도입-기술도입 완료후 해외 10억 달러 규모의 제네릭 시장과  1,000억원 규모의 국내시장 진출예정


5. 계약체결일
2002년 12월 04일


6. 결정일(이사회 결의일)
-


   - 사외이사 참석여부
참석(명)
-
불참(명)
-


   - 감사 참석여부
불참


7. 공정거래법 해당여부
아니오


8. 기타
상기사항은 2002년 11월 19일 공정공시 사항임(기술도입 등을 위한 MOU체결)


※ 관련공시일
-





",https://kind.krx.co.kr/external/2002/12/04/K00039/00000000157864/91871_00362.htm
