model,SET1 val Accuracy,SET1 test Accuracy,SET1 test f1-Score,SET1 test Precision,SET1 test Recall,SET2 val Accuracy,SET2 test Accuracy,SET2 test f1_Score,SET2 test Precision,SET2 test Recall
Decision Tree,0.7146892655367232,0.6475,0.4051,0.5056,0.7295,0.748587570621469,0.7023,0.4267,0.5066,0.7467
Random Forest,0.807909604519774,0.7168,0.4332,0.5075,0.7748,0.8276836158192089,0.7779,0.4575,0.5098,0.8054
Adaboost,0.7754237288135594,0.7119,0.4305,0.5068,0.7516,0.7966101694915255,0.7907,0.4612,0.5094,0.7808
logistic,0.7782485875706214,0.818,0.4737,0.5117,0.8152,0.7740112994350282,0.8159,0.4728,0.5116,0.8142
KNN,0.7528248587570622,0.79,0.4604,0.509,0.7701,0.75,0.7856,0.4587,0.5088,0.7679
SVC,0.5423728813559322,0.0058,0.0057,0.5028,0.5001,0.5508474576271186,0.0058,0.0057,0.5028,0.5001
lightGBM,0.7881355932203391,0.7068,0.4281,0.5064,0.7387,0.82909604519774,0.7865,0.46,0.5096,0.789
Catboost,0.8036723163841808,0.7225,0.4358,0.508,0.788,0.8305084745762712,0.7995,0.4654,0.5102,0.7956
MLP,0.7033898305084745,0.7846,0.4553,0.5068,0.7052,0.7189265536723164,0.7184,0.4338,0.5076,0.7755
Xgboost,0.7937853107344632,0.704,0.4266,0.5061,0.7269,0.8149717514124294,0.7815,0.458,0.5093,0.7866
