model,SET1 val Accuracy,SET1 test Accuracy,SET1 test f1-Score,SET1 test Precision,SET1 test Recall,SET2 val Accuracy,SET2 test Accuracy,SET2 test f1_Score,SET2 test Precision,SET2 test Recall
Decision Tree,0.6763778168351015,0.5817,0.375,0.5022,0.6019,0.698936036658088,0.6285,0.3939,0.5026,0.6143
Random Forest,0.7241227794865357,0.7017,0.4246,0.5054,0.7174,0.7800436256355533,0.7221,0.4325,0.5059,0.7277
Adaboost,0.7030475174188688,0.7147,0.4293,0.5055,0.7129,0.7521734354403364,0.7532,0.4432,0.5059,0.7102
logistic,0.7338993157993849,0.7942,0.4574,0.5063,0.6976,0.7338914694620552,0.7907,0.4555,0.5059,0.6848
KNN,0.6876686962525893,0.7071,0.426,0.505,0.698,0.7129260561170045,0.7084,0.4265,0.505,0.6987
SVC,0.537913501977277,0.0054,0.0054,0.5026,0.5001,0.5463404682694118,0.0054,0.0054,0.5026,0.5001
lightGBM,0.7352096541334505,0.6679,0.4121,0.5053,0.7226,0.7688155169167032,0.7059,0.4252,0.5047,0.6864
Catboost,0.7520165086937418,0.7188,0.4309,0.5056,0.715,0.7829703094595443,0.7375,0.4385,0.5064,0.7354
MLP,0.6779470843010482,0.6022,0.3851,0.5039,0.6785,0.7143383968363568,0.6192,0.3913,0.5034,0.6539
Xgboost,0.7282891846086248,0.6683,0.4122,0.5053,0.7227,0.7423262820915196,0.6973,0.4226,0.5051,0.7042
