model,SET1 val Accuracy,SET1 test Accuracy,SET1 test f1-Score,SET1 test Precision,SET1 test Recall,SET2 val Accuracy,SET2 test Accuracy,SET2 test f1_Score,SET2 test Precision,SET2 test Recall
Decision Tree,0.5671052631578948,0.5315,0.35,0.5006,0.5611,0.5710526315789474,0.5635,0.3631,0.5003,0.5318
Random Forest,0.6328947368421053,0.5807,0.3702,0.5004,0.5404,0.6513157894736842,0.5896,0.3738,0.5005,0.5449
Adaboost,0.581578947368421,0.5901,0.3746,0.501,0.5905,0.611842105263158,0.6187,0.386,0.5011,0.6048
logistic,0.638157894736842,0.6945,0.4139,0.5012,0.5975,0.6197368421052631,0.7025,0.4164,0.501,0.5788
KNN,0.5894736842105264,0.6175,0.3852,0.5009,0.5816,0.5960526315789474,0.6161,0.3847,0.5009,0.5809
SVC,0.5184210526315789,0.0027,0.0027,0.5013,0.5001,0.531578947368421,0.0027,0.0027,0.5013,0.5001
lightGBM,0.6355263157894737,0.584,0.3718,0.5007,0.5648,0.6289473684210526,0.6124,0.3827,0.5004,0.5337
Catboost,0.6394736842105263,0.5998,0.3779,0.5005,0.55,0.6486842105263158,0.6321,0.3909,0.501,0.5889
MLP,0.5815789473684211,0.6336,0.3915,0.501,0.5896,0.6013157894736842,0.5022,0.3368,0.5002,0.5238
Xgboost,0.6105263157894737,0.5742,0.3683,0.5011,0.6052,0.6249999999999999,0.5947,0.3764,0.501,0.5928
