model,SET1 val Accuracy,SET1 test Accuracy,SET1 test f1-Score,SET1 test Precision,SET1 test Recall,SET2 val Accuracy,SET2 test Accuracy,SET2 test f1_Score,SET2 test Precision,SET2 test Recall
Decision Tree,0.606646091705541,0.605,0.0106,0.0053,0.6129,0.6560117760837411,0.6617,0.013,0.0065,0.6452
Random Forest,0.7213491295938104,0.7526,0.0194,0.0098,0.7097,0.7252887131641825,0.7428,0.0195,0.0099,0.7419
Adaboost,0.6760012515644555,0.713,0.0175,0.0088,0.7419,0.7079303675048356,0.7253,0.0175,0.0088,0.7097
logistic,0.7227002503128911,0.7438,0.0162,0.0082,0.6129,0.7079517009898737,0.7365,0.0158,0.008,0.6129
KNN,0.6413343383775173,0.7425,0.0153,0.0077,0.5806,0.6600509159176243,0.7432,0.0153,0.0078,0.5806
SVC,0.6626749345773125,0.7674,0.0141,0.0072,0.4839,0.6626678234156331,0.7654,0.014,0.0071,0.4839
lightGBM,0.688019114802594,0.723,0.0181,0.0092,0.7419,0.7253171578109001,0.7384,0.02,0.0101,0.7742
Catboost,0.7173099897599271,0.7451,0.0196,0.01,0.7419,0.7386150301513256,0.7633,0.0211,0.0107,0.7419
MLP,0.6320116054158607,0.6148,0.0114,0.0058,0.6452,0.6426570144498804,0.791,0.0188,0.0095,0.5806
Xgboost,0.681306178177267,0.714,0.0183,0.0093,0.7742,0.7386648082830811,0.7505,0.0209,0.0106,0.7742
