model,SET1 val Accuracy,SET1 test Accuracy,SET1 test f1-Score,SET1 test Precision,SET1 test Recall,SET2 val Accuracy,SET2 test Accuracy,SET2 test f1_Score,SET2 test Precision,SET2 test Recall
Decision Tree,0.764367816091954,0.7801,0.0429,0.022,0.7759,0.8017241379310345,0.7819,0.0451,0.0232,0.8103
Random Forest,0.8477011494252873,0.8442,0.0632,0.0329,0.8276,0.889367816091954,0.8533,0.0733,0.0382,0.9138
Adaboost,0.8448275862068966,0.8495,0.0602,0.0313,0.7586,0.8649425287356323,0.8494,0.0652,0.0339,0.8276
logistic,0.8347701149425288,0.8972,0.0821,0.0435,0.7241,0.8563218390804599,0.9087,0.0974,0.052,0.7759
KNN,0.82183908045977,0.8997,0.0803,0.0426,0.6897,0.8074712643678161,0.8996,0.0821,0.0436,0.7069
SVC,0.8117816091954022,0.8529,0.0575,0.03,0.7069,0.8160919540229885,0.8534,0.0577,0.0301,0.7069
lightGBM,0.8362068965517242,0.8576,0.0714,0.0372,0.8621,0.8692528735632183,0.8526,0.0692,0.036,0.8621
Catboost,0.8433908045977012,0.8674,0.0735,0.0384,0.8276,0.8836206896551724,0.8713,0.0798,0.0418,0.8793
MLP,0.8146551724137931,0.7918,0.048,0.0247,0.8276,0.8060344827586207,0.955,0.1526,0.0867,0.6379
Xgboost,0.8232758620689655,0.8514,0.0674,0.0351,0.8448,0.8663793103448276,0.8645,0.0734,0.0383,0.8448
