회사명,거래소코드,회계년도,종가
(주)고영테크놀러지,098460,2014/12,42800
(주)고영테크놀러지,098460,2015/12,38650
(주)고영테크놀러지,098460,2016/12,45200
(주)고영테크놀러지,098460,2017/12,82500
(주)고영테크놀러지,098460,2018/12,82500
(주)고영테크놀러지,098460,2019/12,105500
(주)고영테크놀러지,098460,2020/12,105000
(주)골드앤에스,035290,1999/12,18000
(주)골드앤에스,035290,2000/12,1280
(주)골드앤에스,035290,2001/12,1080
(주)골드앤에스,035290,2002/12,460
(주)골드앤에스,035290,2003/12,470
(주)골드앤에스,035290,2004/12,405
(주)골드앤에스,035290,2005/12,935
(주)골드앤에스,035290,2006/12,770
(주)골드앤에스,035290,2007/12,1335
(주)골드앤에스,035290,2008/12,520
(주)골드앤에스,035290,2009/12,620
(주)골드앤에스,035290,2010/12,445
(주)골드앤에스,035290,2011/12,436
(주)골드앤에스,035290,2012/12,476
(주)골드앤에스,035290,2013/12,175
(주)골드앤에스,035290,2014/12,3360
(주)골드앤에스,035290,2015/12,5980
(주)골드앤에스,035290,2016/12,3795
(주)골드앤에스,035290,2017/12,4690
(주)골드앤에스,035290,2018/12,3170
(주)골드앤에스,035290,2019/12,11750
(주)골드앤에스,035290,2020/12,11750
(주)골드카운티,058900,2001/12,
(주)골드카운티,058900,2002/12,
(주)골드카운티,058900,2003/12,
(주)골드카운티,058900,2004/12,1650
(주)골드카운티,058900,2005/12,4130
(주)골드카운티,058900,2006/12,6300
(주)골드카운티,058900,2007/12,765
(주)골드카운티,058900,2008/12,1035
(주)골드카운티,058900,2009/12,420
(주)골드퍼시픽,038530,1999/12,
(주)골드퍼시픽,038530,2000/12,2900
(주)골드퍼시픽,038530,2001/12,2790
(주)골드퍼시픽,038530,2002/12,1460
(주)골드퍼시픽,038530,2003/12,2090
(주)골드퍼시픽,038530,2004/12,2065
(주)골드퍼시픽,038530,2005/12,2615
(주)골드퍼시픽,038530,2006/12,870
(주)골드퍼시픽,038530,2007/12,2650
(주)골드퍼시픽,038530,2008/12,820
(주)골드퍼시픽,038530,2009/12,795
(주)골드퍼시픽,038530,2010/12,620
(주)골드퍼시픽,038530,2011/12,1095
(주)골드퍼시픽,038530,2012/12,1235
(주)골드퍼시픽,038530,2013/12,849
(주)골드퍼시픽,038530,2014/12,1200
(주)골드퍼시픽,038530,2015/12,1620
(주)골드퍼시픽,038530,2016/12,732
(주)골드퍼시픽,038530,2017/12,3780
(주)골드퍼시픽,038530,2018/12,1415
(주)골드퍼시픽,038530,2019/12,1620
(주)골드퍼시픽,038530,2020/12,1435
(주)골프존,215000,2015/12,87900
(주)골프존,215000,2016/12,65300
(주)골프존,215000,2017/12,44850
(주)골프존,215000,2018/12,33450
(주)골프존,215000,2019/12,68900
(주)골프존,215000,2020/12,69300
(주)골프존뉴딘홀딩스,121440,2007/12,
(주)골프존뉴딘홀딩스,121440,2008/12,
(주)골프존뉴딘홀딩스,121440,2009/12,
(주)골프존뉴딘홀딩스,121440,2010/12,
(주)골프존뉴딘홀딩스,121440,2011/12,47800
(주)골프존뉴딘홀딩스,121440,2012/12,62900
(주)골프존뉴딘홀딩스,121440,2013/12,20150
(주)골프존뉴딘홀딩스,121440,2014/12,25250
(주)골프존뉴딘홀딩스,121440,2015/12,7150
(주)골프존뉴딘홀딩스,121440,2016/12,7760
(주)골프존뉴딘홀딩스,121440,2017/12,5320
(주)골프존뉴딘홀딩스,121440,2018/12,3685
(주)골프존뉴딘홀딩스,121440,2019/12,3545
(주)골프존뉴딘홀딩스,121440,2020/12,5540
(주)광림,014200,1999/12,5640
(주)광림,014200,2000/12,5000
(주)광림,014200,2001/12,5180
(주)광림,014200,2002/12,2920
(주)광림,014200,2003/12,4135
(주)광림,014200,2004/12,2680
(주)광림,014200,2005/12,4750
(주)광림,014200,2006/12,4290
(주)광림,014200,2007/12,12300
(주)광림,014200,2008/12,465
(주)광림,014200,2009/12,1410
(주)광림,014200,2010/12,2000
(주)광림,014200,2011/12,2080
(주)광림,014200,2012/12,1985
(주)광림,014200,2013/12,1770
(주)광림,014200,2014/12,1510
(주)광림,014200,2015/12,3100
(주)광림,014200,2016/12,7860
(주)광림,014200,2017/12,3835
(주)광림,014200,2018/12,2495
(주)광림,014200,2019/12,2225
(주)광림,014200,2020/12,1680
(주)광진윈텍,090150,2001/12,
(주)광진윈텍,090150,2002/12,
(주)광진윈텍,090150,2003/12,
(주)광진윈텍,090150,2004/12,
(주)광진윈텍,090150,2005/12,
(주)광진윈텍,090150,2006/12,3130
(주)광진윈텍,090150,2007/12,3940
(주)광진윈텍,090150,2008/12,2130
(주)광진윈텍,090150,2009/12,2685
(주)광진윈텍,090150,2010/12,2675
(주)광진윈텍,090150,2011/12,1980
(주)광진윈텍,090150,2012/12,1975
(주)광진윈텍,090150,2013/12,2340
(주)광진윈텍,090150,2014/12,2150
(주)광진윈텍,090150,2015/12,3405
(주)광진윈텍,090150,2016/12,5310
(주)광진윈텍,090150,2017/12,2500
(주)광진윈텍,090150,2018/12,2295
(주)광진윈텍,090150,2019/12,3375
(주)광진윈텍,090150,2020/12,4235
(주)구영테크,053270,1999/12,
(주)구영테크,053270,2000/12,
(주)구영테크,053270,2001/12,
(주)구영테크,053270,2002/12,3530
(주)구영테크,053270,2003/12,2040
(주)구영테크,053270,2004/12,1355
(주)구영테크,053270,2005/12,2675
(주)구영테크,053270,2006/12,1360
(주)구영테크,053270,2007/12,1495
(주)구영테크,053270,2008/12,595
(주)구영테크,053270,2009/12,965
(주)구영테크,053270,2010/12,1680
(주)구영테크,053270,2011/12,1380
(주)구영테크,053270,2012/12,1440
(주)구영테크,053270,2013/12,1485
(주)구영테크,053270,2014/12,1370
(주)구영테크,053270,2015/12,2190
(주)구영테크,053270,2016/12,2365
(주)구영테크,053270,2017/12,2080
(주)구영테크,053270,2018/12,1540
(주)구영테크,053270,2019/12,1820
(주)구영테크,053270,2020/12,1650
(주)국보디자인,066620,1999/12,
(주)국보디자인,066620,2000/12,
(주)국보디자인,066620,2001/12,
(주)국보디자인,066620,2002/12,3800
(주)국보디자인,066620,2003/12,3370
(주)국보디자인,066620,2004/12,1335
(주)국보디자인,066620,2005/12,3300
(주)국보디자인,066620,2006/12,2940
(주)국보디자인,066620,2007/12,4330
(주)국보디자인,066620,2008/12,2370
(주)국보디자인,066620,2009/12,2815
(주)국보디자인,066620,2010/12,3475
(주)국보디자인,066620,2011/12,4875
(주)국보디자인,066620,2012/12,6800
(주)국보디자인,066620,2013/12,10100
(주)국보디자인,066620,2014/12,13600
(주)국보디자인,066620,2015/12,19300
(주)국보디자인,066620,2016/12,17200
(주)국보디자인,066620,2017/12,18300
(주)국보디자인,066620,2018/12,13400
(주)국보디자인,066620,2019/12,17050
(주)국보디자인,066620,2020/12,17600
(주)국순당,043650,1999/12,
(주)국순당,043650,2000/12,11450
(주)국순당,043650,2001/12,30200
(주)국순당,043650,2002/12,26750
(주)국순당,043650,2003/12,26600
(주)국순당,043650,2004/12,12800
(주)국순당,043650,2005/12,16450
(주)국순당,043650,2006/12,6130
(주)국순당,043650,2007/12,5450
(주)국순당,043650,2008/12,3225
(주)국순당,043650,2009/12,9500
(주)국순당,043650,2010/12,11100
(주)국순당,043650,2011/12,7970
(주)국순당,043650,2012/12,7390
(주)국순당,043650,2013/12,5940
(주)국순당,043650,2014/12,5900
(주)국순당,043650,2015/12,6410
(주)국순당,043650,2016/12,6940
(주)국순당,043650,2017/12,5680
(주)국순당,043650,2018/12,4060
(주)국순당,043650,2019/12,3250
(주)국순당,043650,2020/12,5620
(주)국영지앤엠,006050,1999/12,3875
(주)국영지앤엠,006050,2000/12,4000
(주)국영지앤엠,006050,2001/12,2150
(주)국영지앤엠,006050,2002/12,1230
(주)국영지앤엠,006050,2003/12,805
(주)국영지앤엠,006050,2004/12,995
(주)국영지앤엠,006050,2005/12,1950
(주)국영지앤엠,006050,2006/12,1790
(주)국영지앤엠,006050,2007/12,2550
(주)국영지앤엠,006050,2008/12,570
(주)국영지앤엠,006050,2009/12,800
(주)국영지앤엠,006050,2010/12,1180
(주)국영지앤엠,006050,2011/12,1485
(주)국영지앤엠,006050,2012/12,897
(주)국영지앤엠,006050,2013/12,989
(주)국영지앤엠,006050,2014/12,999
(주)국영지앤엠,006050,2015/12,2465
(주)국영지앤엠,006050,2016/12,2195
(주)국영지앤엠,006050,2017/12,1130
(주)국영지앤엠,006050,2018/12,1580
(주)국영지앤엠,006050,2019/12,1960
(주)국영지앤엠,006050,2020/12,2770
(주)국전약품,307750,2018/12,2010
(주)국전약품,307750,2019/12,2020
(주)국전약품,307750,2020/12,9950
(주)굿이엠지,051530,2000/12,
(주)굿이엠지,051530,2001/12,8170
(주)굿이엠지,051530,2002/12,6620
(주)굿이엠지,051530,2003/12,2350
(주)굿이엠지,051530,2004/12,1970
(주)굿이엠지,051530,2005/12,2925
(주)굿이엠지,051530,2006/12,1490
(주)굿이엠지,051530,2007/12,5870
(주)굿이엠지,051530,2008/12,500
(주)그로웰텔레콤,035780,1999/12,
(주)그로웰텔레콤,035780,2000/12,4120
(주)그로웰텔레콤,035780,2001/12,3230
(주)그로웰텔레콤,035780,2002/12,1310
(주)그로웰텔레콤,035780,2003/12,370
(주)그리티,204020,2007/12,
(주)그리티,204020,2008/12,
(주)그리티,204020,2009/12,
(주)그리티,204020,2010/12,
(주)그리티,204020,2011/12,
(주)그리티,204020,2012/12,
(주)그리티,204020,2013/12,
(주)그리티,204020,2014/12,
(주)그리티,204020,2015/12,
(주)그리티,204020,2016/12,
(주)그리티,204020,2017/12,
(주)그리티,204020,2018/12,7190
(주)그리티,204020,2019/12,2790
(주)그리티,204020,2020/12,2995
(주)그린플러스,186230,2006/12,
(주)그린플러스,186230,2007/12,
(주)그린플러스,186230,2008/12,
(주)그린플러스,186230,2009/12,
(주)그린플러스,186230,2010/12,
(주)그린플러스,186230,2011/12,
(주)그린플러스,186230,2012/12,
(주)그린플러스,186230,2013/12,
(주)그린플러스,186230,2014/12,
(주)그린플러스,186230,2015/12,
(주)그린플러스,186230,2016/12,
(주)그린플러스,186230,2017/12,
(주)그린플러스,186230,2018/12,
(주)그린플러스,186230,2019/12,11200
(주)그린플러스,186230,2020/12,12800
(주)극동자동화,272420,2014/12,
(주)극동자동화,272420,2015/12,
(주)극동자동화,272420,2016/12,
(주)극동자동화,272420,2017/12,
(주)글로벌스탠다드테크놀로지,083450,2003/12,
(주)글로벌스탠다드테크놀로지,083450,2004/12,
(주)글로벌스탠다드테크놀로지,083450,2005/12,
(주)글로벌스탠다드테크놀로지,083450,2006/12,6030
(주)글로벌스탠다드테크놀로지,083450,2007/12,3260
(주)글로벌스탠다드테크놀로지,083450,2008/12,1020
(주)글로벌스탠다드테크놀로지,083450,2009/12,1735
(주)글로벌스탠다드테크놀로지,083450,2010/12,3025
(주)글로벌스탠다드테크놀로지,083450,2011/12,3570
(주)글로벌스탠다드테크놀로지,083450,2012/12,4160
(주)글로벌스탠다드테크놀로지,083450,2013/12,5410
(주)글로벌스탠다드테크놀로지,083450,2014/12,5610
(주)글로벌스탠다드테크놀로지,083450,2015/12,5850
(주)글로벌스탠다드테크놀로지,083450,2016/12,5490
(주)글로벌스탠다드테크놀로지,083450,2017/12,12350
(주)글로벌스탠다드테크놀로지,083450,2018/12,4440
(주)글로벌스탠다드테크놀로지,083450,2019/12,10200
(주)글로벌스탠다드테크놀로지,083450,2020/12,17200
(주)글로포스트,037830,1999/12,
(주)글로포스트,037830,2000/12,
(주)글로포스트,037830,2001/12,
(주)글로포스트,037830,2002/12,750
(주)글로포스트,037830,2003/12,285
(주)글로포스트,037830,2004/12,140
(주)글로포스트,037830,2005/12,830
(주)글로포스트,037830,2006/12,255
(주)글로포스트,037830,2007/12,21200
(주)글로포스트,037830,2008/12,890
(주)금빛,045890,2002/12,
(주)금빛,045890,2003/12,
(주)금빛,045890,2004/12,
(주)금빛,045890,2005/12,4220
(주)금빛,045890,2006/12,3125
(주)금빛,045890,2007/12,36650
(주)금빛,045890,2008/12,22350
(주)금빛,045890,2009/12,17000
(주)금빛,045890,2010/12,7710
(주)금빛,045890,2011/12,2575
(주)금빛,045890,2012/12,1860
(주)금빛,045890,2013/12,2180
(주)금빛,045890,2014/12,1275
(주)금빛,045890,2015/12,1880
(주)금빛,045890,2016/12,2015
(주)금빛,045890,2017/12,1935
(주)금빛,045890,2018/12,1710
(주)금빛,045890,2019/12,2790
(주)금빛,045890,2020/12,430
(주)금오하이텍,165270,2007/12,
(주)금오하이텍,165270,2008/12,
(주)금오하이텍,165270,2009/12,
(주)금오하이텍,165270,2010/12,
(주)금오하이텍,165270,2011/12,
(주)금오하이텍,165270,2012/12,
(주)금오하이텍,165270,2013/12,
(주)금오하이텍,165270,2014/12,
(주)금오하이텍,165270,2015/12,
(주)금오하이텍,165270,2016/12,
(주)금화피에스시,036190,1999/12,
(주)금화피에스시,036190,2000/12,1350
(주)금화피에스시,036190,2001/12,2830
(주)금화피에스시,036190,2002/12,1970
(주)금화피에스시,036190,2003/12,1700
(주)금화피에스시,036190,2004/12,1695
(주)금화피에스시,036190,2005/12,3540
(주)금화피에스시,036190,2006/12,4070
(주)금화피에스시,036190,2007/12,7830
(주)금화피에스시,036190,2008/12,6490
(주)금화피에스시,036190,2009/12,13550
(주)금화피에스시,036190,2010/12,12100
(주)금화피에스시,036190,2011/12,11150
(주)금화피에스시,036190,2012/12,20250
(주)금화피에스시,036190,2013/12,33100
(주)금화피에스시,036190,2014/12,48050
(주)금화피에스시,036190,2015/12,35100
(주)금화피에스시,036190,2016/12,35250
(주)금화피에스시,036190,2017/12,42900
(주)금화피에스시,036190,2018/12,29650
(주)금화피에스시,036190,2019/12,29500
(주)금화피에스시,036190,2020/12,29100
(주)기가레인,049080,2000/12,
(주)기가레인,049080,2006/12,
(주)기가레인,049080,2007/12,
(주)기가레인,049080,2008/12,
(주)기가레인,049080,2009/12,
(주)기가레인,049080,2010/12,
(주)기가레인,049080,2013/12,4600
(주)기가레인,049080,2014/12,11300
(주)기가레인,049080,2015/12,5340
(주)기가레인,049080,2016/12,5540
(주)기가레인,049080,2017/12,2945
(주)기가레인,049080,2018/12,1810
(주)기가레인,049080,2019/12,1485
(주)기가레인,049080,2020/12,3000
(주)기산텔레콤,035460,1999/12,37500
(주)기산텔레콤,035460,2000/12,2560
(주)기산텔레콤,035460,2001/12,2650
(주)기산텔레콤,035460,2002/12,2100
(주)기산텔레콤,035460,2003/12,1630
(주)기산텔레콤,035460,2004/12,2450
(주)기산텔레콤,035460,2005/12,9000
(주)기산텔레콤,035460,2006/12,7300
(주)기산텔레콤,035460,2007/12,4065
(주)기산텔레콤,035460,2008/12,2005
(주)기산텔레콤,035460,2009/12,2120
(주)기산텔레콤,035460,2010/12,3760
(주)기산텔레콤,035460,2011/12,1920
(주)기산텔레콤,035460,2012/12,1930
(주)기산텔레콤,035460,2013/12,1900
(주)기산텔레콤,035460,2014/12,1780
(주)기산텔레콤,035460,2015/12,3645
(주)기산텔레콤,035460,2016/12,3520
(주)기산텔레콤,035460,2017/12,2895
(주)기산텔레콤,035460,2018/12,2755
(주)기산텔레콤,035460,2019/12,2090
(주)기산텔레콤,035460,2020/12,2615
(주)까스텔바작,308100,2016/12,
(주)까스텔바작,308100,2017/12,
(주)까스텔바작,308100,2018/12,
(주)까스텔바작,308100,2019/12,9400
(주)까스텔바작,308100,2020/12,10850
(주)나노,187790,2014/12,2180
(주)나노,187790,2015/12,1745
(주)나노,187790,2016/12,1920
(주)나노,187790,2017/12,1000
(주)나노,187790,2018/12,1915
(주)나노,187790,2019/12,2030
(주)나노,187790,2020/12,1480
(주)나노브릭,286750,2015/12,
(주)나노브릭,286750,2016/12,
(주)나노브릭,286750,2017/12,
(주)나노브릭,286750,2018/12,
(주)나노브릭,286750,2019/12,10800
(주)나노브릭,286750,2020/12,18700
(주)나노신소재,121600,2002/12,
(주)나노신소재,121600,2003/12,
(주)나노신소재,121600,2004/12,
(주)나노신소재,121600,2005/12,
(주)나노신소재,121600,2006/12,
(주)나노신소재,121600,2007/12,
(주)나노신소재,121600,2008/12,
(주)나노신소재,121600,2009/12,
(주)나노신소재,121600,2010/12,
(주)나노신소재,121600,2011/12,19750
(주)나노신소재,121600,2012/12,15150
(주)나노신소재,121600,2013/12,16800
(주)나노신소재,121600,2014/12,15900
(주)나노신소재,121600,2015/12,24000
(주)나노신소재,121600,2016/12,15200
(주)나노신소재,121600,2017/12,17100
(주)나노신소재,121600,2018/12,15300
(주)나노신소재,121600,2019/12,16700
(주)나노신소재,121600,2020/12,37850
(주)나노엔텍,039860,1999/12,
(주)나노엔텍,039860,2000/12,6450
(주)나노엔텍,039860,2001/12,11900
(주)나노엔텍,039860,2002/12,3300
(주)나노엔텍,039860,2003/12,3920
(주)나노엔텍,039860,2004/12,3010
(주)나노엔텍,039860,2005/12,8830
(주)나노엔텍,039860,2006/12,3005
(주)나노엔텍,039860,2007/12,2630
(주)나노엔텍,039860,2008/12,2225
(주)나노엔텍,039860,2009/12,5150
(주)나노엔텍,039860,2010/12,4995
(주)나노엔텍,039860,2011/12,4160
(주)나노엔텍,039860,2012/12,3915
(주)나노엔텍,039860,2013/12,5170
(주)나노엔텍,039860,2014/12,5710
(주)나노엔텍,039860,2015/12,7300
(주)나노엔텍,039860,2016/12,5020
(주)나노엔텍,039860,2017/12,5950
(주)나노엔텍,039860,2018/12,4235
(주)나노엔텍,039860,2019/12,5620
(주)나노엔텍,039860,2020/12,8620
(주)나노트로닉스,010670,1999/12,3160
(주)나노트로닉스,010670,2000/12,450
(주)나노트로닉스,010670,2001/12,840
(주)나노트로닉스,010670,2002/12,220
(주)나노트로닉스,010670,2003/12,150
(주)나노트로닉스,010670,2004/12,115
(주)나노트로닉스,010670,2005/12,210
(주)나노트로닉스,010670,2006/12,5670
(주)나노트로닉스,010670,2007/12,8150
(주)나노트로닉스,010670,2008/12,4245
(주)나노트로닉스,010670,2009/12,9600
(주)나노트로닉스,010670,2010/12,3920
(주)나노트로닉스,010670,2011/12,4240
(주)나노트로닉스,010670,2012/12,4890
(주)나노하이텍,071360,1999/12,
(주)나노하이텍,071360,2000/12,
(주)나노하이텍,071360,2001/12,
(주)나노하이텍,071360,2002/12,
(주)나노하이텍,071360,2003/12,3370
(주)나노하이텍,071360,2004/12,2260
(주)나노하이텍,071360,2005/12,5710
(주)나노하이텍,071360,2006/12,2335
(주)나노하이텍,071360,2007/12,1040
(주)나노하이텍,071360,2008/12,260
(주)나리지*온,036850,1999/12,30000
(주)나리지*온,036850,2000/12,2670
(주)나리지*온,036850,2001/12,2620
(주)나리지*온,036850,2002/12,1140
(주)나리지*온,036850,2003/12,1170
(주)나리지*온,036850,2004/12,855
(주)나리지*온,036850,2005/12,1690
(주)나리지*온,036850,2006/12,1335
(주)나리지*온,036850,2007/12,1400
(주)나리지*온,036850,2008/12,1355
(주)나리지*온,036850,2009/12,3465
(주)나무가,190510,2009/12,
(주)나무가,190510,2010/12,
(주)나무가,190510,2011/12,
(주)나무가,190510,2012/12,
(주)나무가,190510,2013/12,
(주)나무가,190510,2014/12,
(주)나무가,190510,2015/12,58000
(주)나무가,190510,2016/12,58400
(주)나무가,190510,2017/12,19000
(주)나무가,190510,2018/12,19050
(주)나무가,190510,2019/12,47800
(주)나무가,190510,2020/12,21500
(주)나스미디어,089600,2004/12,
(주)나스미디어,089600,2005/12,
(주)나스미디어,089600,2006/12,
(주)나스미디어,089600,2007/12,
(주)나스미디어,089600,2008/12,
(주)나스미디어,089600,2009/12,
(주)나스미디어,089600,2010/12,
(주)나스미디어,089600,2011/12,
(주)나스미디어,089600,2012/12,
(주)나스미디어,089600,2013/12,11300
(주)나스미디어,089600,2014/12,23850
(주)나스미디어,089600,2015/12,50000
(주)나스미디어,089600,2016/12,39500
(주)나스미디어,089600,2017/12,74500
(주)나스미디어,089600,2018/12,28400
(주)나스미디어,089600,2019/12,33350
(주)나스미디어,089600,2020/12,30600
(주)나이벡,138610,2008/12,
(주)나이벡,138610,2009/12,
(주)나이벡,138610,2010/12,
(주)나이벡,138610,2011/12,6770
(주)나이벡,138610,2012/12,4000
(주)나이벡,138610,2013/12,3360
(주)나이벡,138610,2014/12,7250
(주)나이벡,138610,2015/12,10600
(주)나이벡,138610,2016/12,7690
(주)나이벡,138610,2017/12,10350
(주)나이벡,138610,2018/12,10850
(주)나이벡,138610,2019/12,11100
(주)나이벡,138610,2020/12,43300
(주)나이스디앤비,130580,2007/12,
(주)나이스디앤비,130580,2008/12,
(주)나이스디앤비,130580,2009/12,
(주)나이스디앤비,130580,2010/12,
(주)나이스디앤비,130580,2011/12,2630
(주)나이스디앤비,130580,2012/12,2715
(주)나이스디앤비,130580,2013/12,2470
(주)나이스디앤비,130580,2014/12,3140
(주)나이스디앤비,130580,2015/12,5620
(주)나이스디앤비,130580,2016/12,5400
(주)나이스디앤비,130580,2017/12,7970
(주)나이스디앤비,130580,2018/12,7110
(주)나이스디앤비,130580,2019/12,8260
(주)나이스디앤비,130580,2020/12,9780
(주)나이코,192240,2012/12,
(주)나이코,192240,2013/12,
(주)나이코,192240,2014/12,
(주)나이코,192240,2015/12,
(주)나인테크,267320,2017/12,1995
(주)나인테크,267320,2018/12,2055
(주)나인테크,267320,2019/12,2040
(주)나인테크,267320,2020/12,4285
(주)남성알미늄,033220,1999/12,18900
(주)남성알미늄,033220,2000/12,39400
(주)남성알미늄,033220,2001/12,38100
(주)남성알미늄,033220,2002/12,31350
(주)남성알미늄,033220,2003/12,29000
(주)남성알미늄,033220,2004/12,13600
(주)내츄럴엔도텍,168330,2012/12,
(주)내츄럴엔도텍,168330,2013/12,98200
(주)내츄럴엔도텍,168330,2014/12,45550
(주)내츄럴엔도텍,168330,2015/12,20800
(주)내츄럴엔도텍,168330,2016/12,17550
(주)내츄럴엔도텍,168330,2017/12,23300
(주)내츄럴엔도텍,168330,2018/12,13600
(주)내츄럴엔도텍,168330,2019/12,3595
(주)내츄럴엔도텍,168330,2020/12,2525
(주)네오리소스,058550,2001/12,
(주)네오리소스,058550,2002/12,1540
(주)네오리소스,058550,2003/12,1550
(주)네오리소스,058550,2004/12,140
(주)네오리소스,058550,2005/12,3120
