회사명,거래소코드,회계년도,기업가치(EV),EBITDA,EBITDA/매출액,EBITDA/금융비용,EBITDA/평균발행주식수,EV/EBITDA
(주)ES큐브,050120,2015/12,43978.86,2693.37,7.3,0,73.8,16.33
(주)ES큐브,050120,2016/12,72120.85,2675.39,7.68,13.13,67.23,26.96
(주)ES큐브,050120,2017/12,92718.68,2882.41,7.77,3.67,34.63,32.17
(주)ES큐브,050120,2018/12,72309.81,1500.86,4.79,1.01,18.03,48.18
(주)ES큐브,050120,2019/12,120801.79,1296.57,4.55,0.37,15.2,93.17
(주)ES큐브,050120,2020/12,77485.91,1752.83,5.79,0.55,21.04,44.21
(주)가비아,079940,2002/12,,,,,,
(주)가비아,079940,2003/12,,,,,,
(주)가비아,079940,2004/12,,,,,,
(주)가비아,079940,2005/12,,,,,,
(주)가비아,079940,2006/12,,,,,,
(주)가비아,079940,2007/12,22034.59,4336.88,24.3,15.45,350.03,5.08
(주)가비아,079940,2008/12,7278.24,5315.02,25.95,13.45,417.33,1.37
(주)가비아,079940,2009/12,32451.52,5121.48,23.24,6.97,402.14,6.34
(주)가비아,079940,2010/12,42059.44,6102.68,23.41,14.58,479.18,6.89
(주)가비아,079940,2011/12,51305.89,6447.24,19.08,17.84,506.23,7.96
(주)가비아,079940,2012/12,62466.67,6647.2,17.27,14.09,498.45,9.4
(주)가비아,079940,2013/12,68242.86,7314.15,18.06,18.03,548.46,9.33
(주)가비아,079940,2014/12,90040.35,7359.25,16.76,23.8,545.49,12.23
(주)가비아,079940,2015/12,91720.1,8509.74,17.57,53.21,628.69,10.78
(주)가비아,079940,2016/12,76066.23,7985.21,16.15,66.84,589.94,9.53
(주)가비아,079940,2017/12,74966.19,7280.83,13.9,62.16,537.9,10.3
(주)가비아,079940,2018/12,80962.55,8207,14.87,51.7,606.32,9.87
(주)가비아,079940,2019/12,116990.44,12155.96,20.87,48.43,898.07,9.62
(주)가비아,079940,2020/12,189018.64,14047.19,21.92,72.87,1037.79,13.46
(주)강스템바이오텍,217730,2013/12,,,,,,
(주)강스템바이오텍,217730,2014/12,836.4,-3941.49,-1893.21,-103.34,-403.96,0
(주)강스템바이오텍,217730,2015/12,145397.83,-4439.56,-299.04,-4.68,-382.25,0
(주)강스템바이오텍,217730,2016/12,167125.19,-8279.15,-982.33,-17.16,-591.17,0
(주)강스템바이오텍,217730,2017/12,212461.7,-10425.01,-193.26,-7.43,-726.03,0
(주)강스템바이오텍,217730,2018/12,467135.46,-9776.67,-976.65,-11.1,-590.04,0
(주)강스템바이오텍,217730,2019/12,184106.87,-18153.11,-6435.7,-21.83,-871.11,0
(주)강스템바이오텍,217730,2020/12,196218.85,-14716.91,-4982.39,-39.6,-607.98,0
(주)강원,114190,2000/11,,,,,,
(주)강원,114190,2001/11,,,,,,
(주)강원,114190,2002/11,,,,,,
(주)강원,114190,2003/11,,,,,,
(주)강원,114190,2004/11,,,,,,
(주)강원,114190,2005/11,,,,,,
(주)강원,114190,2006/11,,,,,,
(주)강원,114190,2007/11,-9279.86,3633.85,11.54,259.19,27603.57,-2.55
(주)강원,114190,2008/11,-3478.95,6809.96,13.76,596.32,37833.11,-0.51
(주)강원,114190,2009/11,16303.98,4479.79,11.58,543.27,1188.07,3.64
(주)강원,114190,2010/11,17533.59,2024.8,6.61,499.46,382.04,8.66
(주)강원,114190,2011/11,8670.99,6728.68,13.4,402.19,1269.56,1.29
(주)강원,114190,2012/12,47153.82,11991.58,11.26,60.28,1131.28,3.93
(주)강원,114190,2013/12,1579.07,3620.42,7.15,20.27,285.82,0.44
(주)강원,114190,2014/12,18306.34,2191.8,4.26,52.58,152.3,8.35
(주)강원,114190,2015/12,14942.62,1469.25,3.01,1275.39,96.33,10.17
(주)강원,114190,2016/12,28717.05,-370,-0.83,-68.16,-24.26,0
(주)강원,114190,2017/12,27218.77,-4918.72,-5.92,-81.52,-322.47,0
(주)강원,114190,2018/12,40064.23,1048.79,1.22,0.69,68.76,38.2
(주)강원,114190,2019/12,74448.3,-16321.52,-38.36,-8.87,-1039.83,0
(주)강원,114190,2020/12,42102.29,-7790.82,-20.32,-22.92,-429.13,0
(주)강원랜드,035250,2000/12,,,,,,
(주)강원랜드,035250,2001/12,,,,,,
(주)강원랜드,035250,2002/12,,,,,,
(주)게임빌,063080,2004/12,,,,,,
(주)게임빌,063080,2005/12,,,,,,
(주)게임빌,063080,2006/12,,,,,,
(주)게임빌,063080,2007/12,-2888.78,2743.91,22.34,40.24,606,-1.05
(주)게임빌,063080,2008/12,-2438.49,7222.11,46.96,76.02,1582.5,-0.34
(주)게임빌,063080,2009/12,201652.25,14352.26,58.81,193.31,2864.41,14.05
(주)게임빌,063080,2010/12,150871.72,16290.07,57.08,244.48,2953.39,9.26
(주)게임빌,063080,2011/12,362806.59,17887.89,46.63,351.86,3232.06,20.28
(주)게임빌,063080,2012/12,551611.62,23226.88,43.2,650.52,4187.55,23.75
(주)게임빌,063080,2013/12,292639.52,14385.99,25.93,862.21,2387.83,20.34
(주)게임빌,063080,2014/12,765374.61,18820.37,15.26,772.59,2885.51,40.67
(주)게임빌,063080,2015/12,528728.26,9714.18,7.68,17.46,1489.36,54.43
(주)게임빌,063080,2016/12,350728.73,4776.36,3.78,3.69,732.3,73.43
(주)게임빌,063080,2017/12,655701.41,-17461.27,-24.72,-11.22,-2652.87,0
(주)게임빌,063080,2018/12,418130.26,-14583.05,-22.62,-8.08,-2211.16,0
(주)게임빌,063080,2019/12,285212.21,-9743.45,-12.75,-3.87,-1477.36,0
(주)게임빌,063080,2020/12,346401.87,3825.11,6.06,0.96,579.99,90.56
(주)경윤하이드로에너지,019120,2000/12,,,,,,
(주)경윤하이드로에너지,019120,2001/12,,,,,,
(주)경윤하이드로에너지,019120,2002/12,,,,,,
(주)경윤하이드로에너지,019120,2003/12,,,,,,
(주)경윤하이드로에너지,019120,2004/12,,,,,,
(주)경윤하이드로에너지,019120,2005/12,,,,,,
(주)경윤하이드로에너지,019120,2006/12,,,,,,
(주)경윤하이드로에너지,019120,2007/12,22001.18,-3322.02,-11.84,-3.85,-431.99,0
(주)경윤하이드로에너지,019120,2008/12,10573.4,-860.53,-3.71,-0.78,-54.29,
(주)경윤하이드로에너지,019120,2009/12,36004.27,-2812.81,-56.04,-4.96,-69.3,
(주)경윤하이드로에너지,019120,2010/12,14951.97,-1542.34,-19.94,-2.67,-18.95,
(주)고려시멘트,198440,2014/12,,,,,,
(주)고려시멘트,198440,2015/12,,,,,,
(주)고려시멘트,198440,2016/12,,,,,,
(주)고려시멘트,198440,2017/12,61980.59,5456.83,6.22,30.36,179.03,11.36
(주)고려시멘트,198440,2018/12,96116.63,6331.58,7.38,15.18,197.99,15.18
(주)고려시멘트,198440,2019/12,105972.63,1955.41,2.76,4.6,61.14,54.19
(주)고려시멘트,198440,2020/12,90049.27,6668.93,9.5,64.01,208.53,13.5
(주)고바이오랩,348150,2019/12,,,,,,
(주)고바이오랩,348150,2020/12,632239.67,-10003.96,-217.88,-14.13,-1409.29,0
(주)고영테크놀러지,098460,2005/12,,,,,,
(주)고영테크놀러지,098460,2006/12,,,,,,
(주)고영테크놀러지,098460,2007/12,-3650.06,5892.91,25.3,281.73,1398.99,-0.62
(주)고영테크놀러지,098460,2008/12,-8354.31,6735.07,19.61,701.42,1385.96,-1.24
(주)고영테크놀러지,098460,2009/12,61031.72,2899.04,10.77,35.44,545.44,21.05
(주)고영테크놀러지,098460,2010/12,143362.01,20027.67,28.13,57.32,2350.68,7.16
(주)고영테크놀러지,098460,2011/12,259831.77,20577.78,25.66,0,2385.58,12.63
(주)고영테크놀러지,098460,2012/12,247148.63,22322.3,22.15,0,2493.09,11.07
(주)고영테크놀러지,098460,2013/12,239601.68,19884.9,19.13,0,2220.48,12.05
(주)고영테크놀러지,098460,2014/12,561417.06,30640.34,22.61,0,2280.41,18.32
(주)고영테크놀러지,098460,2015/12,507867.85,29444.76,21.25,0,2171.82,17.25
(주)고영테크놀러지,098460,2016/12,590412.69,34427.03,22.46,0,2520.26,17.15
(주)고영테크놀러지,098460,2017/12,1111063.81,49108.3,25.99,0,3592.25,22.62
(주)고영테크놀러지,098460,2018/12,1111281.62,50226.52,22.85,0,3669.51,22.13
(주)고영테크놀러지,098460,2019/12,1436333.13,48953.85,23.37,228.25,3576.42,29.34
(주)고영테크놀러지,098460,2020/12,1413303.29,23153.05,14.74,124.75,1686.28,61.04
(주)골드앤에스,035290,2000/12,,,,,,
(주)골드앤에스,035290,2001/12,,,,,,
(주)골드앤에스,035290,2002/12,,,,,,
(주)골드앤에스,035290,2003/12,,,,,,
(주)골드앤에스,035290,2004/12,,,,,,
(주)골드앤에스,035290,2005/12,,,,,,
(주)골드앤에스,035290,2006/12,,,,,,
(주)골드앤에스,035290,2007/12,73778.13,13199.61,28.91,91.51,255.52,5.59
(주)골드앤에스,035290,2008/12,7653.99,12502.63,25.87,24.3,242.03,0.61
(주)골드앤에스,035290,2009/12,42598.83,12157.73,23.84,22.56,235.35,3.5
(주)골드앤에스,035290,2010/12,37524.68,10644.31,21.08,9.36,206.05,3.53
(주)골드앤에스,035290,2011/12,37609.2,9946.72,20.93,8.95,192.55,3.78
(주)골드앤에스,035290,2012/12,46465.85,4895.12,11.15,4.04,82.88,9.49
(주)골드앤에스,035290,2013/12,28252.04,1376.08,3.76,1.27,19.21,20.53
(주)골드앤에스,035290,2014/12,50689.27,2134.93,7.25,1.59,110.49,23.74
(주)골드앤에스,035290,2015/12,119544.97,4127.44,18.59,7.33,235.95,28.96
(주)골드앤에스,035290,2016/12,75970.7,2385.41,15.01,15.32,121.06,31.85
(주)골드앤에스,035290,2017/12,103403.61,-2174.39,-16.98,-16.18,-104.56,0
(주)골드앤에스,035290,2018/12,79136.43,-3664.02,-42.21,-3.58,-165.24,0
(주)골드앤에스,035290,2019/12,47490.95,-5952.59,-77.89,-1.22,-250.16,0
(주)골드앤에스,035290,2020/12,26527.39,-2148.73,-51.92,-0.89,-556.45,0
(주)골드카운티,058900,2001/12,,,,,,
(주)골드카운티,058900,2002/12,,,,,,
(주)골드카운티,058900,2003/12,,,,,,
(주)골드카운티,058900,2004/12,,,,,,
(주)골드카운티,058900,2005/12,,,,,,
(주)골드카운티,058900,2006/12,,,,,,
(주)골드카운티,058900,2007/12,24645.31,-6880.66,-111.64,-6.13,-374.78,0
(주)골드카운티,058900,2008/12,2458.88,-3354.38,-94.53,-5.89,-107.49,
(주)골드카운티,058900,2009/12,10191.9,-3129.65,-83.34,-51.2,-141.73,
(주)골드퍼시픽,038530,2000/12,,,,,,
(주)골드퍼시픽,038530,2001/12,,,,,,
(주)골드퍼시픽,038530,2002/12,,,,,,
(주)골드퍼시픽,038530,2003/12,,,,,,
(주)골드퍼시픽,038530,2004/12,,,,,,
(주)골드퍼시픽,038530,2005/12,,,,,,
(주)골드퍼시픽,038530,2006/12,,,,,,
(주)골드퍼시픽,038530,2007/12,51169.9,-2307.16,-30.56,-10.92,-154.08,0
(주)골드퍼시픽,038530,2008/12,-1508.34,-500.3,-4.93,-3.53,-24.89,
(주)골드퍼시픽,038530,2009/12,9197.21,-27.91,-0.34,0,-1.25,
(주)골드퍼시픽,038530,2010/12,11706.33,1374.7,12.83,0,61.49,8.52
(주)골드퍼시픽,038530,2011/12,27369.43,3869.13,34.43,31.75,173.08,7.07
(주)골드퍼시픽,038530,2012/12,31633.85,3084.27,29.4,11.27,133.05,10.26
(주)골드퍼시픽,038530,2013/12,30602.58,-3033.82,-46.76,-5.88,-121.59,0
(주)골드퍼시픽,038530,2014/12,50334.37,-3585.25,-73.84,-4.09,-123.25,0
(주)골드퍼시픽,038530,2015/12,86133.7,-5909.4,-96.54,-9.86,-127.26,0
(주)골드퍼시픽,038530,2016/12,36862.66,-7320.74,-76.35,-14.97,-135.65,0
(주)골드퍼시픽,038530,2017/12,37048.58,1048,20.83,0.69,43.99,35.35
(주)골드퍼시픽,038530,2018/12,28255.21,-295.29,-5.29,-0.22,-28.8,0
(주)골드퍼시픽,038530,2019/12,96990.03,-2904.05,-25.65,-0.76,-91.62,0
(주)골드퍼시픽,038530,2020/12,83531.76,1326.13,9.25,0.35,29.71,62.99
(주)골프존,215000,2015/12,,,,,,
(주)골프존,215000,2016/12,423968.9,50612.86,25.71,67.9,8065.26,8.38
(주)골프존,215000,2017/12,215605.58,38360.72,22.32,54.14,6112.86,5.62
(주)골프존,215000,2018/12,177965.08,34932.41,18.23,46.92,5566.55,5.09
(주)골프존,215000,2019/12,474008.05,53241.75,22.27,65.38,8484.18,8.9
(주)골프존,215000,2020/12,472843.45,80438.95,28.62,65.14,12818.11,5.88
(주)골프존뉴딘홀딩스,121440,2007/12,,,,,,
(주)골프존뉴딘홀딩스,121440,2008/12,-14705.64,46518.89,46.08,82188.86,228590.93,-0.32
(주)골프존뉴딘홀딩스,121440,2009/12,-8316.41,53312.81,40.06,245681.16,1040.72,-0.16
(주)골프존뉴딘홀딩스,121440,2010/12,-37692.06,65184.02,35.37,0,6404.29,-0.58
(주)골프존뉴딘홀딩스,121440,2011/12,557764.77,55981.88,26.68,1800.47,4854.3,9.96
(주)골프존뉴딘홀딩스,121440,2012/12,782176.16,80294.15,29.06,52.77,6537,9.74
(주)골프존뉴딘홀딩스,121440,2013/12,740572.33,93237.16,27.42,43.9,2530.24,7.94
(주)골프존뉴딘홀딩스,121440,2014/12,943016.75,111676.48,28.85,71.66,3030.65,8.44
(주)골프존뉴딘홀딩스,121440,2015/12,317265.39,-7131.48,-24.27,-10.86,-188.39,0
(주)골프존뉴딘홀딩스,121440,2016/12,370279.41,-221.12,-0.8,-0.18,-5.16,0
(주)골프존뉴딘홀딩스,121440,2017/12,250613.63,-1238.7,-5.27,-0.89,-28.92,0
(주)골프존뉴딘홀딩스,121440,2018/12,212299.51,-6317.72,-39.24,-4.07,-147.48,0
(주)골프존뉴딘홀딩스,121440,2019/12,205767.43,-14304.17,-53.18,-7.18,-333.92,0
(주)골프존뉴딘홀딩스,121440,2020/12,287852.42,38802.74,67.51,19.94,905.83,7.42
(주)광림,014200,2000/12,,,,,,
(주)광림,014200,2001/12,,,,,,
(주)광림,014200,2002/12,,,,,,
(주)광림,014200,2003/12,,,,,,
(주)광림,014200,2004/12,,,,,,
(주)광림,014200,2005/12,,,,,,
(주)광림,014200,2006/12,,,,,,
(주)광림,014200,2007/12,46370.66,2175.16,2.7,4.16,715.09,21.32
(주)광림,014200,2008/12,15686.33,1879.19,2.51,1.9,61.78,8.35
(주)광림,014200,2009/12,38545.19,1910.27,2.61,1.88,125.6,20.18
(주)광림,014200,2010/12,60820.66,4278.5,4.58,3.08,281.31,14.22
(주)광림,014200,2011/12,39612.28,4893.55,4.6,4.23,321.75,8.09
(주)광림,014200,2012/12,36597.9,2294.97,2.69,2.98,144.42,15.95
(주)광림,014200,2013/12,29755.81,4181.04,4.04,7.81,218.68,7.12
(주)광림,014200,2014/12,49102.56,2685.79,2.9,2.52,140.48,18.28
(주)광림,014200,2015/12,83122.18,5064.36,2.13,1.65,264.88,16.41
(주)광림,014200,2016/12,405593.74,982.38,1.13,0.89,21.46,412.87
(주)광림,014200,2017/12,218875.01,3203.39,3.22,2.28,66.05,68.33
(주)광림,014200,2018/12,154399.91,3163.08,4.19,2.08,65.22,48.81
(주)광림,014200,2019/12,183242.07,5049.89,5.42,1.82,101.76,36.29
(주)광림,014200,2020/12,117577.41,9415.81,9.03,1.48,177.92,12.49
(주)광진윈텍,090150,2001/12,,,,,,
(주)광진윈텍,090150,2002/12,,,,,,
(주)광진윈텍,090150,2003/12,,,,,,
(주)광진윈텍,090150,2004/12,,,,,,
(주)광진윈텍,090150,2005/12,,,,,,
(주)광진윈텍,090150,2006/12,,,,,,
(주)광진윈텍,090150,2007/12,26670.29,3078.38,7.82,27.12,384.8,8.66
(주)광진윈텍,090150,2008/12,-81.25,3275.62,9.4,37.62,409.45,-0.02
(주)광진윈텍,090150,2009/12,27295.38,3333.37,9.6,5.38,408.32,8.19
(주)광진윈텍,090150,2010/12,40759.27,3075.44,6.11,2.55,367.85,13.25
(주)광진윈텍,090150,2011/12,35241.3,3940.79,5.62,2.84,441.08,8.94
(주)광진윈텍,090150,2012/12,45757.54,4576.18,5.76,3.22,473.8,10
(주)광진윈텍,090150,2013/12,45265.97,3158.02,4.04,1.87,326.97,14.33
(주)광진윈텍,090150,2014/12,42545.44,2687.23,3.3,1.7,278.23,15.83
(주)광진윈텍,090150,2015/12,55615.34,1787.34,2.21,1.46,185.06,31.12
(주)광진윈텍,090150,2016/12,71525.45,2069.78,2.36,2.04,214.3,34.56
(주)광진윈텍,090150,2017/12,49165.6,-1481.95,-1.68,-1.5,-153.44,0
(주)광진윈텍,090150,2018/12,52803.97,-1171.94,-1.32,-1.06,-121.34,0
(주)광진윈텍,090150,2019/12,60658.9,3377.62,3.82,3.75,349.71,17.96
(주)광진윈텍,090150,2020/12,65029.05,2772.32,3.4,4.63,287.04,23.46
(주)구영테크,053270,2000/12,,,,,,
(주)구영테크,053270,2001/12,,,,,,
(주)구영테크,053270,2002/12,,,,,,
(주)구영테크,053270,2003/12,,,,,,
(주)구영테크,053270,2004/12,,,,,,
(주)구영테크,053270,2005/12,,,,,,
(주)구영테크,053270,2006/12,,,,,,
(주)구영테크,053270,2007/12,58845.79,7941.76,12.3,3.02,617.56,7.41
(주)구영테크,053270,2008/12,50072.41,4289.6,8.7,1.34,333.56,11.67
(주)구영테크,053270,2009/12,56205.74,8143.78,16.17,2.34,633.27,6.9
(주)구영테크,053270,2010/12,64782.73,9173.13,15.09,2.94,713.31,7.06
(주)구영테크,053270,2011/12,67774.49,7416.13,11.86,2.01,576.69,9.14
(주)구영테크,053270,2012/12,78302.12,7776.82,11.88,1.94,604.74,10.07
(주)구영테크,053270,2013/12,65516.4,7735.16,10.14,2.19,601.5,8.47
(주)구영테크,053270,2014/12,65445.21,5974.42,7.68,2.33,301.83,10.95
(주)구영테크,053270,2015/12,77600.92,6627.57,7.61,3.72,334.82,11.71
(주)구영테크,053270,2016/12,80961.85,7018.19,9.32,5.23,354.56,11.54
(주)구영테크,053270,2017/12,94473.07,5928.99,7.98,5.01,299.53,15.93
(주)구영테크,053270,2018/12,102152.96,5764.8,7.04,2.58,291.24,17.72
(주)구영테크,053270,2019/12,106241.08,7837.1,8.41,3.55,296.93,13.56
(주)구영테크,053270,2020/12,104123.22,8778.27,10.35,4.83,332.58,11.86
(주)국보디자인,066620,2000/12,,,,,,
(주)국보디자인,066620,2001/12,,,,,,
(주)국보디자인,066620,2002/12,,,,,,
(주)국보디자인,066620,2003/12,,,,,,
(주)국보디자인,066620,2004/12,,,,,,
(주)국보디자인,066620,2005/12,,,,,,
(주)국보디자인,066620,2006/12,,,,,,
(주)국보디자인,066620,2007/12,34342.57,6484.8,6.68,128.38,864.64,5.3
(주)국보디자인,066620,2008/12,2658.25,3399.7,2.75,18.98,453.29,0.78
(주)국보디자인,066620,2009/12,15151.43,8718.93,8.93,290.13,1162.52,1.74
(주)국보디자인,066620,2010/12,24497.79,3995,3.87,443.94,532.67,6.13
(주)국보디자인,066620,2011/12,33330.38,8557.73,6.95,237.75,1141.03,3.89
(주)국보디자인,066620,2012/12,37904.62,10886.91,9.19,2076.86,1451.59,3.48
(주)국보디자인,066620,2013/12,71789.57,10566.05,6.9,1382.63,1408.81,6.79
(주)국보디자인,066620,2014/12,94143.51,10007.53,6.32,1437.45,1334.34,9.41
(주)국보디자인,066620,2015/12,138703.03,7013.95,4.45,1023.93,935.19,19.78
(주)국보디자인,066620,2016/12,117780.01,13511.48,7.05,9862.39,1801.53,8.72
(주)국보디자인,066620,2017/12,111584.37,24242.46,9.23,3700.57,3232.33,4.6
(주)국보디자인,066620,2018/12,85861.65,17047.87,7.38,0,2273.05,5.04
(주)국보디자인,066620,2019/12,119888.51,11023.51,4.65,708.63,1469.8,10.88
(주)국보디자인,066620,2020/12,104616.48,21962.52,8.65,2150.03,2928.34,4.76
(주)국순당,043650,2000/12,,,,,,
(주)국순당,043650,2001/12,,,,,,
(주)국순당,043650,2002/12,,,,,,
(주)국순당,043650,2003/12,,,,,,
(주)국순당,043650,2004/12,,,,,,
(주)국순당,043650,2005/12,,,,,,
(주)국순당,043650,2006/12,,,,,,
(주)국순당,043650,2007/12,68565.7,10322.64,16.68,0,578.03,6.64
(주)국순당,043650,2008/12,-24625.8,7761.16,14.35,0,434.6,-3.17
(주)국순당,043650,2009/12,121517.34,9848.03,17.96,0,551.45,12.34
(주)국순당,043650,2010/12,145785.64,21251.34,20.48,0,1190,6.86
(주)국순당,043650,2011/12,97110.25,11422.66,9.19,0,639.63,8.5
(주)국순당,043650,2012/12,83251.9,12247.14,10.64,0,685.8,6.8
(주)국순당,043650,2013/12,59501.9,5662.58,5.89,0,317.08,10.51
(주)국순당,043650,2014/12,77001.54,4828,5.41,0,270.35,15.95
(주)국순당,043650,2015/12,86964.8,-5017.83,-6.69,0,-280.98,0
(주)국순당,043650,2016/12,105669.18,-2564.3,-3.75,0,-143.59,0
(주)국순당,043650,2017/12,70870.01,-768.71,-1.28,0,-43.04,0
(주)국순당,043650,2018/12,51857.09,-215.82,-0.41,0,-12.08,0
(주)국순당,043650,2019/12,30742.76,-2754.34,-5.73,0,-154.23,0
(주)국순당,043650,2020/12,70342.53,7618.54,15.13,0,426.61,9.23
(주)국영지앤엠,006050,2000/12,,,,,,
(주)국영지앤엠,006050,2001/12,,,,,,
(주)국영지앤엠,006050,2002/12,,,,,,
(주)국영지앤엠,006050,2003/12,,,,,,
(주)국영지앤엠,006050,2004/12,,,,,,
(주)국영지앤엠,006050,2005/12,,,,,,
(주)국영지앤엠,006050,2006/12,,,,,,
(주)국영지앤엠,006050,2007/12,19111.31,1179.17,3.08,8.02,153.2,16.21
(주)국영지앤엠,006050,2008/12,446,-1885.53,-5.45,-14.91,-92.37,
(주)국영지앤엠,006050,2009/12,16444,215.11,0.47,0.82,10.54,76.44
(주)국영지앤엠,006050,2010/12,17419.59,2655.95,6.33,30.81,130.11,6.56
(주)국영지앤엠,006050,2011/12,40353.84,-2233.14,-5.25,-129.4,-109.4,0
(주)국영지앤엠,006050,2012/12,25652.46,-194.08,-0.44,-0.59,-6.77,0
(주)국영지앤엠,006050,2013/12,23588.54,2622.11,4.7,4.62,89.15,9
(주)국영지앤엠,006050,2014/12,21616.84,2961.21,5.75,9.56,98.84,7.3
(주)국영지앤엠,006050,2015/12,71634.46,379.16,0.95,5.76,11.52,188.93
(주)국영지앤엠,006050,2016/12,68202.07,1592.81,3.1,21.79,47.13,42.82
(주)국영지앤엠,006050,2017/12,34894.59,2825.28,4.49,35.2,80.96,12.35
(주)국영지앤엠,006050,2018/12,46389.23,541.69,0.96,10.78,15.52,85.64
(주)국영지앤엠,006050,2019/12,63606.09,2480.76,3.4,39.43,71.09,25.64
(주)국영지앤엠,006050,2020/12,88446.55,-438.37,-0.68,-3.95,-12.56,0
(주)국전약품,307750,2018/12,,,,,,
(주)국전약품,307750,2019/12,,,,,,
(주)국전약품,307750,2020/12,388857.8,6767.3,8.39,11.75,175.6,57.46
(주)굿이엠지,051530,2000/12,,,,,,
(주)굿이엠지,051530,2001/12,,,,,,
(주)굿이엠지,051530,2002/12,,,,,,
(주)굿이엠지,051530,2003/12,,,,,,
(주)굿이엠지,051530,2004/12,,,,,,
(주)굿이엠지,051530,2005/12,,,,,,
(주)굿이엠지,051530,2006/12,,,,,,
(주)굿이엠지,051530,2007/12,56039.46,-3653.76,-93.32,-2.98,-246.32,0
(주)굿이엠지,051530,2008/12,3563.56,-2923.72,-228.51,-22.64,-160.43,
(주)그로웰텔레콤,035780,2000/12,,,,,,
(주)그로웰텔레콤,035780,2001/12,,,,,,
(주)그로웰텔레콤,035780,2002/12,,,,,,
(주)그로웰텔레콤,035780,2003/12,,,,,,
(주)그리티,204020,2007/12,,,,,,
(주)그리티,204020,2008/12,6958.11,2571.25,8.3,3.34,1275.42,2.71
(주)그리티,204020,2009/12,6591.58,3079.39,8.17,5.33,1527.48,2.14
(주)그리티,204020,2010/12,5343.27,4734.18,9.63,9.9,2609.23,1.13
(주)그리티,204020,2011/12,-2647.37,12468.91,18.68,27.98,6872.2,-0.21
(주)그리티,204020,2012/12,705.46,8239.14,12.24,42.72,1964.84,0.09
(주)그리티,204020,2013/12,-1046.2,13878.86,14.8,234.11,3476.95,-0.08
(주)그리티,204020,2014/12,-576,10289.87,10.36,437.87,2577.83,-0.06
(주)그리티,204020,2015/12,-416.86,6967.77,6.84,1741941.25,1616.27,-0.06
(주)그리티,204020,2016/12,-554.7,6406.26,6.1,5238.15,1486.02,-0.09
(주)그리티,204020,2017/12,-651.42,10176.52,8.19,0,1180.29,-0.06
(주)그리티,204020,2018/12,75742.51,9719.36,8.3,263.55,1127.27,7.79
(주)그리티,204020,2019/12,61382.59,6577.64,5.44,21.33,326.48,9.33
(주)그리티,204020,2020/12,62908.08,5032.43,4.2,31.22,249.78,12.5
(주)그린플러스,186230,2006/12,,,,,,
(주)그린플러스,186230,2007/12,16737.72,852.16,4.81,0.92,17043.22,19.64
