번호,시간,회사명,종목코드,공시제목,제출인
101,2017-12-27 17:26,에스에프씨,112240,파산신청 기각,에스에프씨
100,2017-12-21 11:07,이엠앤아이,083470,파산신청 기각,이엠앤아이
99,2017-12-08 18:52,이엠앤아이,083470,파산신청,이엠앤아이
98,2017-11-17 17:37,에스에프씨,112240,파산신청,에스에프씨
97,2017-11-14 17:28,레이젠,047440,파산신청,디케이씨
96,2017-11-03 15:46,행남사,008800,파산신청 기각,행남사
95,2017-09-19 15:06,레이젠,047440,파산신청 기각,디케이씨
94,2017-09-14 18:24,행남사,008800,파산신청,행남사
93,2017-09-06 11:16,엔에스브이,095300,회생절차개시신청,엔에스브이
92,2017-08-21 16:17,레이젠,047440,파산신청,디케이씨
91,2017-05-02 07:07,레이젠,047440,파산신청 기각,디케이씨
90,2017-04-28 07:03,레이젠,047440,파산신청 기각,디케이씨
89,2017-03-23 14:16,디에스티,033430,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,디에스티
88,2017-03-16 17:39,신양오라컴,086830,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,신양오라컴디스플레이
87,2017-03-16 16:49,코세스,089890,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,코세스
86,2017-03-15 17:07,엔에스브이,095300,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,엔에스브이
85,2017-03-15 16:04,한국정밀기계,101680,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,한국정밀기계
84,2017-03-09 17:26,오리엔탈정공,014940,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,오리엔탈정공
83,2017-03-02 09:35,WI,073570,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,더블유아이
82,2017-02-28 17:59,WI,073570,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],더블유아이
81,2017-02-28 17:45,씨엔플러스,115530,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,씨엔플러스
80,2017-02-23 10:54,우전,052270,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,우전
79,2017-02-16 16:21,테라사이언스,073640,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,테라사이언스
78,2017-02-16 15:39,신양오라컴,086830,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],신양오라컴디스플레이
77,2017-02-16 15:11,케이에스피,073010,회생계획 인가[정],케이에스피
76,2017-02-16 11:18,디에스티,033430,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],디에스티
75,2017-02-15 15:23,썬코어,051170,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,썬코어
74,2017-02-15 13:53,나노스,151910,회생절차 종결결정,나노스
73,2017-02-14 07:09,씨엔플러스,115530,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],씨엔플러스
72,2017-02-10 17:54,스틸플라워,087220,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,스틸플라워
71,2017-02-10 17:48,중앙디앤엠,051980,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,중앙디앤엠
70,2017-02-09 17:59,우전,052270,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],우전
69,2017-02-09 17:08,오리엔탈정공,014940,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],오리엔탈정공
68,2017-02-09 16:14,한국정밀기계,101680,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],한국정밀기계
67,2017-02-07 17:53,나노스,151910,회생절차 종결신청,나노스
66,2017-02-01 17:34,코세스,089890,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],코세스
65,2016-12-13 10:24,에스에스컴텍,036500,파산신청 기각,에스에스컴텍
64,2016-12-09 15:15,나노스,151910,회생계획 인가,나노스
63,2016-11-14 16:30,에스에스컴텍,036500,파산신청,에스에스컴텍
62,2016-09-20 16:10,에스에스컴텍,036500,파산신청 기각,에스에스컴텍
61,2016-09-08 16:48,케이에스피,073010,회생절차개시결정,케이에스피
60,2016-08-09 17:49,에스에스컴텍,036500,파산신청,에스에스컴텍
59,2016-07-26 15:28,케이에스피,073010,[정정]회생절차개시신청,케이에스피
58,2016-07-22 18:16,케이에스피,073010,회생절차개시신청[정],케이에스피
57,2016-05-24 12:44,시너지이노베이션,048870,[정정]회생절차 종결결정,시너지이노베이션
56,2016-05-23 18:45,시너지이노베이션,048870,회생절차 종결결정[정],시너지이노베이션
55,2016-05-20 15:18,시너지이노베이션,048870,회생절차 종결신청,시너지이노베이션
54,2016-05-18 17:33,나노스,151910,회생절차개시결정,나노스
53,2016-04-18 18:43,나노스,151910,회생절차개시신청,나노스
52,2016-03-22 21:25,플렉스컴,065270,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,플렉스컴
51,2016-03-22 17:59,에스에스컴텍,036500,파산신청 기각,에스에스컴텍
50,2016-03-21 19:33,시너지이노베이션,048870,회생계획 인가,시너지이노베이션
49,2016-03-15 07:23,신양오라컴,086830,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,신양오라컴디스플레이
48,2016-02-29 17:33,씨엘인터내셔널,037340,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,씨엘인터내셔널
47,2016-02-29 17:19,시너지이노베이션,048870,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,시너지이노베이션
46,2016-02-29 17:16,플렉스컴,065270,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],플렉스컴
45,2016-02-26 17:22,코데즈컴바인,047770,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,코데즈컴바인
44,2016-02-22 16:11,코데즈컴바인,047770,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],코데즈컴바인
43,2016-02-17 07:07,대한그린파워,060900,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,대한그린파워
42,2016-02-15 18:00,피엘에이,082390,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,피엘에이
41,2016-02-12 17:55,우전,052270,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,우전
40,2016-02-12 17:13,시너지이노베이션,048870,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],시너지이노베이션
39,2016-02-11 07:06,피엘에이,082390,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],피엘에이
38,2016-02-05 16:19,에이디칩스,054630,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,에이디칩스
37,2016-02-03 17:13,코데즈컴바인,047770,회생절차 종결결정,코데즈컴바인
36,2016-01-29 17:33,동일철강,023790,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,동일철강
35,2016-01-26 16:25,아이앤씨,052860,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,아이앤씨테크놀로지
34,2016-01-25 16:28,코데즈컴바인,047770,회생절차 종결신청,코데즈컴바인
33,2015-09-14 17:18,코데즈컴바인,047770,파산신청 기각,코데즈컴바인
32,2015-08-13 17:58,코데즈컴바인,047770,회생계획 인가,코데즈컴바인
31,2015-07-06 17:44,시너지이노베이션,048870,회생절차개시결정,시너지이노베이션
30,2015-06-17 17:52,시너지이노베이션,048870,회생절차개시신청,시너지이노베이션
29,2015-05-28 17:22,디아이디,074130,회생절차개시신청,디아이디
28,2015-05-18 11:29,티에스엠텍,066350,[정정]회생절차개시신청,티에스엠텍
27,2015-05-15 17:57,디아이디,074130,[정정]회생절차 개시신청 기각,디아이디
26,2015-05-15 17:40,디아이디,074130,회생절차 개시신청 기각[정],디아이디
25,2015-05-15 17:29,티에스엠텍,066350,회생절차개시신청[정],티에스엠텍
24,2015-05-15 14:49,디아이디,074130,파산신청,디아이디
23,2015-05-07 16:48,디아이디,074130,회생절차개시신청,디아이디
22,2015-05-07 07:12,티에스엠텍,066350,부도발생,티에스엠텍
21,2015-03-25 17:26,코데즈컴바인,047770,회생절차개시결정,코데즈컴바인
20,2015-03-23 20:24,영진코퍼레이션,053330,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,영진코퍼레이션
19,2015-03-18 07:11,엘아이에스,138690,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,엘아이에스
18,2015-03-13 19:27,아이팩토리,053810,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,아이팩토리
17,2015-03-12 15:53,아이디에스,078780,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,아이디에스
16,2015-03-11 16:36,오성첨단소재,052420,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,오성첨단소재
15,2015-03-10 17:41,코데즈컴바인,047770,회생절차개시신청,코데즈컴바인
14,2015-03-06 16:31,삼표시멘트,038500,회생절차 종결결정,삼표시멘트
13,2015-03-04 16:49,우양에이치씨,101970,부도발생,우양에이치씨
12,2015-03-02 18:15,우양에이치씨,101970,회생절차개시신청,우양에이치씨
11,2015-03-02 07:07,코데즈컴바인,047770,내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,코데즈컴바인
10,2015-02-27 15:56,GT&T,053870,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생,지티앤티
9,2015-02-26 15:02,삼표시멘트,038500,회생절차 종결신청,삼표시멘트
8,2015-02-17 15:46,코데즈컴바인,047770,파산신청,코데즈컴바인
7,2015-02-16 17:53,GT&T,053870,[정정]내부결산시점 관리종목 지정 또는 상장폐지 사유 발생[정],지티앤티
